"Organization - Name","Organization - Labels","Organization - Country of Address","Organization - Website","Organization - LinkedIn profile","Organization - Industry","Organization - Annual revenue","Organization - Number of employees","Organization - Company Website (Lead CRM)","Organization - ID","Organization - People","Organization - Next activity date","Organization - Last activity date","Organization - Done activities","Organization - Activities to do","Organization - Email messages count","Organization - Profile picture","Organization - Address","Organization - Snitcher Total sessions","Organization - Snitcher Total page views","Organization - Snitcher Total time on site","Organization - Snitcher Segments","Organization - Snitcher Tags","Organization - Snitcher First visit date","Organization - Snitcher Last visit date","Organization - View in Dealfront","Organization - Latest visit","Organization - Industry","Organization - LinkedIn URL","Organization - Phone","Organization - Number of Employees","Organization - Year Founded","Organization - Total Funding","Organization - Description","Organization - Twitter URL"
"Bechtel Corporation","","United States","bechtel.com","https://linkedin.com/company/3304","","","","","530","1","","","0","0","0","","Sunset Hills Road  12011, 20190, Virginia, Reston, United States","","","","","","","","","","","","","","","","",""
"JP Morgan Securities","","","","","","","","","531","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Singapore Management University","","Singapore","smu.edu.sg","https://linkedin.com/company/165981","","","","","532","1","","","0","0","0","","Victoria Street  81, 188065, Central, Singapore, Singapore","","","","","","","","","","","","","","","","",""
"Spark-HQ","","","","https://www.linkedin.com/company/spark-hq/","Technology, information and media","","1","","539","0","","","0","0","0","","Ireland","","","","","","","","","","","","","","","","",""
"Payment Services Company (EMI)","","","","","Financial services","","1","","541","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Randstad Global Capability Center","","India","randstad.com","https://linkedin.com/company/20332489","","","","","542","1","","","0","0","2","","500016, Telangana, Hyderabad, India","","","","","","","","","","","","","","","","",""
"Vhi Healthcare","","","","","","","","","543","1","","2025-12-03","2","0","0","","","","","","","","","","","","","","","","","","",""
"Zapier","","","","","","","","","544","1","","2025-11-20","12","0","17","","","","","","","","","","","","","","","","","","",""
"Global Payments","","","","","","","","","547","2","","","0","0","3","","","","","","","","","","","","","","","","","","",""
"AwakenAngels","","","","","","","","","548","2","","2025-11-24","4","0","45","","","","","","","","","","","","","","","","","","",""
"Motivation","","","","","","","","","554","1","","2025-11-22","1","0","3","","","","","","","","","","","","","","","","","","",""
"Herzoglaw","","","","","","","","","557","1","","","0","0","8","","","","","","","","","","","","","","","","","","",""
"Dublin Tech Summit","","","","","","","","","558","1","","2025-11-24","2","0","2","","","","","","","","","","","","","","","","","","",""
"Institute of Directors Ireland","","","","","","","","","561","2","","2025-11-25","1","0","2","","","","","","","","","","","","","","","","","","",""
"Mixpanel","","","","","","","","","563","1","","2025-11-27","1","0","0","","","","","","","","","","","","","","","","","","",""
"iSpring","","","","","","","","","565","2","","2025-12-08","2","0","4","","","","","","","","","","","","","","","","","","",""
"Stripe","","","","","","","","","566","0","","2025-12-09","119","0","0","","","","","","","","","","","","","","","","","","",""
"Furgonetka.pl","","","","","","","","","567","1","","2025-11-27","1","0","0","","","","","","","","","","","","","","","","","","",""
"GoDaddy","","","","","","","","","568","0","","2025-09-25","5","0","0","","","","","","","","","","","","","","","","","","",""
"Mirror Review","","","","","","","","","569","1","","2025-12-02","2","0","2","","","","","","","","","","","","","","","","","","",""
"Goodbody","","","","","","","","","570","2","","2025-10-01","2","0","0","","","","","","","","","","","","","","","","","","",""
"Shortwave","","","","","","","","","573","1","","2025-11-26","2","0","1","","","","","","","","","","","","","","","","","","",""
"Flickrocket","","","","","","","","","574","1","","2025-10-01","2","0","0","","","","","","","","","","","","","","","","","","",""
"Synthesia","","","","","","","","","576","1","","2025-12-03","4","0","7","","","","","","","","","","","","","","","","","","",""
"Trinity College Dublin","","","","","","","","","578","7","","2025-12-07","15","0","76","","","","","","","","","","","","","","","","","","",""
"ALL.com","","","","","","","","","580","1","","2025-10-11","3","0","0","","","","","","","","","","","","","","","","","","",""
"Copenhagen Fintech","","","","","","","","","583","1","","2025-11-28","1","0","2","","","","","","","","","","","","","","","","","","",""
"Web Summit","","","","","","","","","584","13","","2025-11-28","41","0","59","","","","","","","","","","","","","","","","","","",""
"Royal College of Surgeons in Ireland","","","","","","","","","585","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"AI Agent Store","","","","","","","","","587","1","","2025-12-10","15","0","10","","","","","","","","","","","","","","","","","","",""
"Google","","","","","","","","","588","0","","2025-09-24","8","0","0","","","","","","","","","","","","","","","","","","",""
"Mindbody","","","","","","","","","589","1","","2025-12-05","5","0","0","","","","","","","","","","","","","","","","","","",""
"Ryanair","","","","","","","","","590","1","","2025-11-10","6","0","0","","","","","","","","","","","","","","","","","","",""
"CEO Rankings","","","","","","","","","591","2","","2025-11-30","1","0","5","","","","","","","","","","","","","","","","","","",""
"PayPal","","","","","","","","","592","2","","2025-11-12","5","0","1","","","","","","","","","","","","","","","","","","",""
"Architechpro OÜ","","","","","","","","","596","1","","2025-09-23","1","0","1","","","","","","","","","","","","","","","","","","",""
"'-","","","","","","","","","598","51","","2025-12-10","942","0","1921","","","","","","","","","","","","","","","","","","",""
"Findymail","","","","","","","","","599","1","","2025-12-02","2","0","1","","","","","","","","","","","","","","","","","","",""
"Supabase","","","","","","","","","600","3","","2025-12-10","17","0","0","","","","","","","","","","","","","","","","","","",""
"Coassemble","","","","","","","","","601","1","","2025-12-10","6","0","9","","","","","","","","","","","","","","","","","","",""
"Shopify","","","","","","","","","603","2","","2025-09-24","4","0","0","","","","","","","","","","","","","","","","","","",""
"Reddit","","","","","","","","","606","1","","","0","0","3","","","","","","","","","","","","","","","","","","",""
"Pinterest","","","","","","","","","607","1","","2025-09-23","1","0","0","","","","","","","","","","","","","","","","","","",""
"South summit","","","","","","","","","608","1","","2025-12-03","1","0","2","","","","","","","","","","","","","","","","","","",""
"Pendo","","","","","","","","","611","1","","2025-09-23","1","0","1","","","","","","","","","","","","","","","","","","",""
"CIPD Ireland","","","","","","","","","612","1","","2025-11-28","5","0","9","","","","","","","","","","","","","","","","","","",""
"Verizon","","","","","","","","","613","1","","2025-12-04","1","0","0","","","","","","","","","","","","","","","","","","",""
"Loom","","","","","","","","","614","1","","2025-12-01","6","0","0","","","","","","","","","","","","","","","","","","",""
"Sploro","","","","","","","","","615","2","","2025-12-04","1","0","5","","","","","","","","","","","","","","","","","","",""
"Intercity Transit","","","","","","","","","616","1","","2025-09-23","1","0","1","","","","","","","","","","","","","","","","","","",""
"LHH","","","","","","","","","619","3","","2025-12-10","7","0","2","","","","","","","","","","","","","","","","","","",""
"Workday","","","","","","","","","621","0","","2025-11-30","11","0","0","","","","","","","","","","","","","","","","","","",""
"AssemblyAI","","","","","","","","","622","1","","","0","0","3","","","","","","","","","","","","","","","","","","",""
"Revolut","","","","","","","","","623","2","","2025-09-24","1","0","17","","","","","","","","","","","","","","","","","","",""
"beehiiv","","","","","","","","","625","6","","2025-12-10","14","0","2","","","","","","","","","","","","","","","","","","",""
"Live Buzz Mail","","","","","","","","","626","1","","2025-12-08","1","0","0","","","","","","","","","","","","","","","","","","",""
"TeamSense","","","","","","","","","629","1","","2025-09-24","1","0","0","","","","","","","","","","","","","","","","","","",""
"Carole Nash","","","","","","","","","631","0","","2025-09-25","1","0","0","","","","","","","","","","","","","","","","","","",""
"FireJet","","","","","","","","","632","0","","2025-10-12","5","0","0","","","","","","","","","","","","","","","","","","",""
"Kissmetrics: Event Analytics for Web, Mobile and More","","","","","","","","","634","0","","2025-09-25","1","0","0","","","","","","","","","","","","","","","","","","",""
"The Mentoring Club","","","","","","","","","635","1","","2025-10-11","1","0","3","","","","","","","","","","","","","","","","","","",""
"Aviva plc","","","","","","","","","638","1","","2025-10-14","3","0","5","","","","","","","","","","","","","","","","","","",""
"Clay","","","","","","","","","639","2","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Dublin City Council","","","","","","","","","640","3","","2025-10-20","6","0","17","","","","","","","","","","","","","","","","","","",""
"MBA-Exchange.com","","","","","","","","","641","1","","2025-12-08","2","0","0","","","","","","","","","","","","","","","","","","",""
"Startup Grind","","","","","","","","","642","1","","2025-12-09","1","0","0","","","","","","","","","","","","","","","","","","",""
"BizClik Media","","","","","","","","","644","2","","2025-12-03","4","0","2","","","","","","","","","","","","","","","","","","",""
"LearnWorlds","","","","","","","","","646","1","","2025-10-03","3","0","2","","","","","","","","","","","","","","","","","","",""
"Profound","","","","","","","","","647","1","","2025-10-13","1","0","0","","","","","","","","","","","","","","","","","","",""
"Hurree","","","","","","","","","648","2","","2025-12-09","1","0","1","","","","","","","","","","","","","","","","","","",""
"Revenue","","","","","","","","","649","1","","2025-11-07","5","0","1","","","","","","","","","","","","","","","","","","",""
"EQIMindset","","","","","","","","","650","1","","2025-10-13","2","0","2","","","","","","","","","","","","","","","","","","",""
"Notion","","","","","","","","","651","2","","2025-09-27","3","0","0","","","","","","","","","","","","","","","","","","",""
"Figma","","","","","","","","","652","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Going for Growth","","","","","","","","","654","2","","2025-11-18","14","0","132","","","","","","","","","","","","","","","","","","",""
"Technology Ireland ICT Skillnet","","","","","","","","","655","2","","2025-11-19","5","0","8","","","","","","","","","","","","","","","","","","",""
"TU Dublin / OT Bhaile Átha Cliath","","","","","","","","","656","1","","2025-12-09","8","0","37","","","","","","","","","","","","","","","","","","",""
"Booking.com","","","","","","","","","657","2","","2025-12-01","6","0","1","","","","","","","","","","","","","","","","","","",""
"Ryanair - Europe's Favourite Airline","","","","","","","","","658","1","","2025-11-14","12","0","8","","","","","","","","","","","","","","","","","","",""
"British Airways","","","","","","","","","659","2","","2025-11-24","2","0","1","","","","","","","","","","","","","","","","","","",""
"Department of Homeland Security","","","","","","","","","660","0","","2025-09-26","1","0","0","","","","","","","","","","","","","","","","","","",""
"Scribd","","","","","","","","","662","1","","2025-10-29","3","0","0","","","","","","","","","","","","","","","","","","",""
